ecu_id,name,generation,code,start_at,cc,is_used
01-03-8A-11,AIRBLADE 2018 150 cm3,2020,AB2020,01/02/2020,150,0
01-03-45-01,SH 2020 125 cm3,2020,Sh2020,01/02/20,125,0
